#%Name: Olivine
#%Formula: (Mg,Fe)2SiO4
#%Mineral class: silicate
#%Xtal system: orthorombic
#%Edge: K
#%Sample prep: powder mixed with DI water, air dried on Cu TEM grid, then plunged in liquid ethane and cryo-transfered. sample mounted at 40 deg.
#%Beamline: ALS 10.3.2, HxV slits = 200x20 um
#%Det:  I0=N2, Fluorescence mode (Amptek C2)
#%Ref/notes: Chemplex standard
#%Temp: -177 Celcius, pressure= 1 10^-6.
#%Time&date=4:38 AM 3/31/2023. Sirine C. Fakra
#%===========================================
7.05017322111991,-7.88733120115172e-05
7.05047322111991,-0.000102894413588852
7.05077322111991,-0.000144184522751936
7.05107322111991,-0.000181459199000853
7.0513732211199,-0.000190907527115054
7.0516732211199,-0.0001613991871417
7.0519732211199,-0.00010239670496658
7.0522732211199,-3.3436034366985e-05
7.0525732211199,2.67813210444151e-05
7.0528732211199,6.79909121027779e-05
7.0531732211199,9.49152600657215e-05
7.0534732211199,0.000116167643750544
7.0537732211199,0.00013767824403927
7.0540732211199,0.000155059126632625
7.0543732211199,0.000157046679684774
7.0546732211199,0.000136275545576326
7.0549732211199,9.28893030964856e-05
7.0552732211199,3.19144715302212e-05
7.05557322111989,-3.8596096189327e-05
7.05587322111989,-0.000101835265675463
7.05617322111989,-0.000135395848784315
7.05647322111989,-0.000118554305513288
