Energy (keV),Normalized Absorption
7.137812121,1.05954373099062
7.138112121,1.06337971593376
7.138412121,1.06070555204971
7.138712121,1.05284392255183
7.139012121,1.04993411594891
7.139312121,1.05786307675403
7.139612121,1.05160726779795
7.140262121,1.05162815969763
7.141262121,1.04601743381956
7.142262121,1.03493138942544
7.143262121,1.01971460519857
7.144262121,1.01626915276125
7.145262121,1.00291408100057
7.146262121,0.995534057402899
7.147262121,0.987187978285915
7.148262121,0.983732832333219
7.149262121,0.973097143440489
7.150262121,0.966278351591253
7.151262121,0.959980047077331
7.152262121,0.954886252411878
7.153262121,0.951785102704044
7.154262121,0.943486000474872
7.155262121,0.936093396159074
7.156262121,0.93399864235645
7.157262121,0.91815525467921
7.158262121,0.918301555557189
7.159262121,0.909223295486892
7.160262121,0.89817246051099
7.161262121,0.899740506226229
7.162262121,0.899964954453969
7.163262121,0.902877490472542
7.164262121,0.907501804350406
7.165262121,0.915154149297971
7.166262121,0.927169746681352
7.167262121,0.935163320566609
7.168262121,0.935721167831431
7.169262121,0.941094282603342
7.170262121,0.949799415962837
7.171262121,0.952254260119419
7.172262121,0.956244783437755
7.173262121,0.960571844085441
7.174262121,0.970755630805861
7.175262121,0.973997447994075
7.176262121,0.978945702869202
7.177262121,0.980917679500526
7.178262121,0.988900773219668
7.179262121,0.992379937219546
7.180262121,0.997601828342746
7.181262121,0.998160907003378
7.182262121,1.00465596568421
7.183262121,1.00805836060839
7.184262121,1.00856683383421
7.185262121,1.01195529922394
7.186262121,1.02281571107963
7.187262121,1.01862701164924
7.188262121,1.02080551821565
7.189262121,1.02325719111143
7.190262121,1.03119776269171
7.191262121,1.03552709477396
7.192262121,1.04064388048748
7.193262121,1.04213893628568
7.194262121,1.04590579537424
7.195262121,1.04801460213053
7.196262121,1.05165056624317
7.197262121,1.05702302453885
7.198262121,1.06153245251687
7.199262121,1.05924404635216
7.200262121,1.0599207379944
7.201262121,1.05047514351657
7.202262121,1.04911898328914
7.203262121,1.03759299208856
7.204262121,1.03122556650332
7.205262121,1.01838719354534
7.206262121,1.01189566550443
7.207262121,1.00501718203311
7.208262121,1.00057995292527
7.209262121,0.992853461229978
7.210264621,0.988478953342269
7.211269621,0.980208614340993
7.212274621,0.97787230175341
7.213279621,0.970148797131714
7.214284621,0.961910186344193
7.215289621,0.958426971390634
7.216294621,0.955629650342523
7.217299621,0.945197315303654
7.218304621,0.946271368231737
7.219309621,0.944061690588724
7.220314621,0.940545709999537
7.221319621,0.939704456144999
7.222324621,0.936654167384261
7.223329621,0.9443642690484
7.224334621,0.939668198336765
7.225339621,0.948624337417109
7.226344621,0.954193111947683
7.227349621,0.955441684538773
7.228354621,0.958814453129884
7.229359621,0.967771710483915
7.230364621,0.965868375710156
7.231369621,0.972445367776046
7.232374621,0.97278426838956
7.233379621,0.974731796523648
7.234384621,0.978969781230659
7.235389621,0.983171873752768
7.236394621,0.981517616266839
7.237399621,0.987936393723233
7.238404621,0.990598789145448
7.239409621,0.9930368828694
7.240414621,1.0009800982674
7.241419621,1.00341009545087
7.242424621,1.00231232778198
7.243429621,1.0098115818025
7.244434621,1.0092447220538
7.245439621,1.0114074880259
7.246444621,1.0170175426392
7.247449621,1.01652686754228
7.248454621,1.0194358061605
7.249459621,1.02857520367991
7.250464621,1.0205444945162
7.251469621,1.02553882212158
7.252474621,1.0219750781843
7.253479621,1.01958185314029
7.254484621,1.01337456653472
7.255489621,1.01383707749833
7.256494621,1.00925719969672
7.257499621,1.01173732254835
7.258504621,1.00698317586975
7.259509621,1.00597614427459
7.260163636,1.01106131535853
7.260466666,1.01763341506343
7.260769697,1.01015651694141
7.261072727,0.995663615874336
7.261375757,1.00051881631858
7.261678788,1.00370790690518
7.261981818,1.01057160620297
7.262284848,1.01161873306437
7.262587879,1.0129324205796
7.262890909,1.03385679267033
7.263193939,1.03876595806215
7.263496969,1.04523682408622
7.2638,1.04065697653304
7.26410303,1.03996672556062
7.26440606,1.02345944877319
7.264709091,1.00951426864485
7.265012121,1.02478349153521
7.265315151,1.0065253472636
7.265618182,1.01775122913232
7.265921212,1.0113200126199
7.266224242,1.01506518741701
7.266527273,1.02047428086975
7.266830303,1.02719251351795
7.267133333,1.00757537563248
7.267436363,1.01436227601432
7.267739394,1.02196242345434
7.268042424,1.02299887084311
7.268345454,1.01491361334144
7.268648485,1.02852835662677
7.268951515,1.03357901794071
7.269254545,1.0198596664609
7.269557576,1.01697161501611
7.269860606,1.02068183206691
7.271611612,1.02435118984303
7.274810594,1.02843595903715
7.278009576,1.02607941574476
7.281208558,1.0215816471054
7.28440754,1.01612941857791
7.287606522,1.01386058298502
7.290805504,1.01063599502184
7.294004486,1.00927375559364
7.297203468,0.998321686427224
7.30040245,0.987938746720742
7.303601432,0.982251555761155
7.306800414,0.978747566715574
7.309999396,0.978409092534928
7.313198378,0.977286421356251
7.31639736,0.980640668764498
7.319596342,0.979386960191287
7.322795324,0.984447060084364
7.325994306,0.991070304683112
7.329193288,1.00148226600075
7.33239227,1.00551464904384
7.335591252,1.01198246674372
7.338790234,1.01620016338423
7.341989216,1.01187153726126
7.345188198,1.00941390371523
7.34838718,1.00806648256333
7.351586162,1.00510898632924
7.354785144,1.00175261208223
7.357984126,1.00302836582605
7.361183108,1.00610285635942
7.36438209,1.00767445237609
7.367581072,1.01061567633876
7.370780054,1.00639478671554
7.373979036,1.0006213910535
7.377178018,0.999771147129863
7.380377,0.997250003812892
7.383575982,0.992720301773929
7.386774964,0.993769370908131
7.389973946,0.995461387152064
7.393172928,0.993121563201094
7.39637191,0.991370114718501
7.399570892,0.985891225449447
7.402769874,0.983621537292921
7.405968856,0.979441197467391
7.409167838,0.978868657965052
7.41236682,0.980402180222761
7.415565802,0.981902860766455
