Energy (keV),Best Fit Normalized Absorption,Residuals
7.0894544652,0.0021978528224193,0.000508118568060126
7.0901112374,0.00240296197607544,0.00063017763895943
7.0907680096,0.00262127627558573,0.000634534495436133
7.0914247818,0.00285268220382191,0.000776793105523406
7.092081554,0.00309706624365569,0.00104263196779073
7.0927383262,0.00335431487795879,0.000692738778610479
7.0933950984,0.00362431458960295,0.000482925462415465
7.0940518706,0.00390695186145987,0.000953780412940673
7.0947086428,0.00420180782006553,0.000782396797501729
7.095365415,0.00450567882404036,0.00195771484276503
7.0960221872,0.00481387168116689,0.00121890506280094
7.0966789594,0.00512167912617388,0.00178739832941051
7.0973357316,0.00542439389379009,0.0020816398627089
7.0979925038,0.00571730871874428,0.00162054715814148
7.098649276,0.00599571633576522,0.00128278486407699
7.0993060482,0.00625516690764697,0.00214742943058707
7.0999628204,0.00667173624694407,0.00329955634298932
7.1006195926,0.00723274406839302,0.0026670044002083
7.1012763648,0.00782057630438048,0.00283673508355668
7.101933137,0.00830377592571427,0.00302606232727915
7.1025899092,0.00914871666374962,0.00386602447036295
7.1032466814,0.00958992326638312,0.00462316960288972
7.1039034536,0.0105280367552969,0.00434233597795426
7.1045602258,0.0114516292151573,0.00538061882845784
7.105216998,0.0122666991535161,0.00589983859002603
7.1058737702,0.0134628229636708,0.00622499148904382
7.1065305424,0.0151111106079062,0.0060201491662541
7.1071873146,0.0170147547295417,0.00673604545179077
7.1078440868,0.0194405761063675,0.00932585297961656
7.108500859,0.0223691561481451,0.0122332236212047
7.1091576312,0.0273973273812709,0.0179071684500371
7.1098144034,0.0350501540939639,0.0344540791090121
7.1104711756,0.0543418476919121,0.0520152873816013
7.1111279478,0.0869049718438644,0.0491397162517881
7.11178472,0.112745501759405,0.0372611059957615
7.1124414922,0.120042001554517,0.0279454890340689
7.1130982644,0.119618510026154,0.0290830379681577
7.1137550366,0.117329837560284,0.0295424178282407
7.1144118088,0.117833193996013,0.0549568909649115
7.115068581,0.144167530939733,0.0857578293491513
7.1157253532,0.198974266067859,0.15994470408727
7.1163821254,0.330028144055938,0.187478213501145
7.1170388976,0.486811936495366,0.129699947776013
7.1176956698,0.601985120961008,0.0942054642322265
7.118352442,0.691155839724078,0.0657795378193755
7.1190092142,0.767185622162035,0.0121871199659889
7.1196659864,0.783761517918588,-0.0171948421129243
7.1203227586,0.761938084960565,-0.0167294240463548
7.1209795308,0.73964476226749,0.0205439746587374
7.121636303,0.741577150595579,0.0329290444963705
7.1222930752,0.753223621483445,0.0331295639621166
7.1229498474,0.763133944259614,0.035284610499702
7.1236066196,0.77196493234669,0.0358278040828535
7.1242633918,0.775267932299463,0.0393903608374938
